№ п/п&UUID&Описание&Ответ&Качество&Пользователь
1&eeb3c713b2424981bfe7802cc84663e5&	Пиздец АК Якутия лажают &[['удивление']]&56.9&admin
2765&516b515cd6754572a538f85d482d9db8&	Вот правильно говорят , что САМОЕ ЛУЧШЕЕ ЧТО МОЖЕТ ПРОИЗОЙТИ С ЧЕЛОВЕКОМ ЭТО ВЗАИМНОСТЬ️️ поэтому безумно приятно когда я ненавижу весь мир️ и весь мир&['Ни одного']&100.0&KachalovskijAV
2766&e67bdf688728470bad63efea5780aaba&	Домашки задавали мало и это радует  .&['Ни одного']&100.0&KachalovskijAV
2767&bc642817c791456e954edef292542168&	Что Bitcoin ?  Не не слышал  Захотел так же ? )&['Ни одного']&100.0&KachalovskijAV
2768&e83fa2bfb0414f2796f1bc20c45dd685&	А еще у Москвы другие волосы , яркий макияж , красные губы , ВСЮДУ ЗВЕЗДЫ и вообще черты лица отличаются &['Ни одного']&100.0&KachalovskijAV
2769&a68ea5757303477dbceb7f7007f79f67&	Мне очень странный сон приснился&['Ни одного']&100.0&KachalovskijAV
2770&7b4cc7331d4e44b1ab3a07d52cf0f825&	Превью к матчу с Борнмутом  Трансляция : Матч !&['Ни одного']&100.0&KachalovskijAV
2771&bc4693617cb6435eb5fb172198aef926&	О , их уже  или  Недавно же  только было , куда так быстро время летит&['Ни одного']&100.0&KachalovskijAV
2772&be1b71c93c924b9a98a4fa61b2300653&	Я почти жива &['Ни одного']&100.0&KachalovskijAV
2773&00fd04b242d3423db627db9a59444a8c&	бля мамка , заебала завязывай с видосиками про жидорептилоидов и прочую поебень насмотрелась блять хуйни и давай ебланить про то , что в участках чипируют&['Ни одного']&100.0&KachalovskijAV
2774&f253629ca3234627936bcd4d94e31318&	Мне кажется , что даже два прыщика от нее воспалились &['Ни одного']&100.0&KachalovskijAV
2775&3b208d2c9e184aeb82d8821eabf4b784&	Нонастамнет !  pictwittercomyzifONKVl&['Ни одного']&100.0&KachalovskijAV
2776&d7fdb12197a14ab1abf548e502651905&	Мне нравится &['Ни одного']&100.0&KachalovskijAV
2777&89ef176a20734ca9a6c573b3edc32029&	После этого я к свечке не прикасалась  &['Ни одного']&100.0&KachalovskijAV
2778&929ec2984f434d0c88d761c3e5cfab3e&	ПроститеПрекрасного вам настроения и хорошего дня   Саранхэ BTSForever Subaru jungkookkimm yoursoulmmate raplinewhore Elizabe EkoJungkook Seoklove ArrrremovnapictwittercomyiKJIjsRh&['Ни одного']&100.0&KachalovskijAV
2779&85bbba089cbc4f0090577618a8bb0a72&	Тут просто ужасный голос , ужасный крик и я петь не умею , даже наверное слова не тебе  Imaginedragonspictwittercom / SQcKnBGS&['Ни одного']&100.0&KachalovskijAV
2780&f5f34ac16cf9451799d30c0d04e9f7a2&	Но с покупкой паленого ремня такого типа убожество возрастает в геометрической прогрессии  pictwittercomTfGDzoXE&['Ни одного']&100.0&KachalovskijAV
2781&fc86d0aff98243cdb27a44e2dd93bddc&	Блин , печально&[['грусть']]&100.0&KachalovskijAV
2782&958f803d4b7d493c8b7cdf3f096f6245&	Страшно ! &[['страх']]&100.0&KachalovskijAV
2783&517328e489394671abfc0d6ae3e56ad4&	Вот это философия . . . &['Ни одного']&100.0&KachalovskijAV
2784&53bb50bdbb0c4d148e0799886d4c8d3f&	바다  Ретвитнул ( а ) vmin updates [ s - h ]&['Ни одного']&100.0&KachalovskijAV
2785&e1b97b8faaaa4cbc8bca21c2919e9b96&	Нахвасталась я своей счастливой жизнью . . заболела  ️ &[['грусть']]&100.0&KachalovskijAV
2786&20a71b515c3749809a81a7206ad61a8e&	Успех месяца , ретвит от Olympiya Спасибо большое ! &['Ни одного']&100.0&KachalovskijAV
2787&0465f7a6cae14489ab37ac18798435e0&	блин что за люди пошли даже доебаться нельзя сразу анфают  похуй . . . . . &['Ни одного']&100.0&KachalovskijAV
2788&3a8c1eb29cfd438c92298f377455b4a2&	Да тебя сволочь живьем закопать не жалко&[['гнев', 'отвращение']]&100.0&KachalovskijAV
2789&3d50db7b1c32489a9bb5e2d8f0662234&	Что за высер ? &['Ни одного']&100.0&KachalovskijAV
2790&b85fe91f969e4af083bfbaa111c9007f&	У моей любви сегодня День Рождения ShawnMendes   лет и уже такой огромный успех Просто восхищена И да , в будущем я просто буду&['Ни одного']&100.0&KachalovskijAV
2791&38f4630faed242fcad58c26a468a7e2d&	Мне очень страшно&[['страх']]&100.0&KachalovskijAV
2792&720358e95422455990c4fb7ca42ebd89&	Осточертели эти бояре . . . &['Ни одного']&100.0&KachalovskijAV
2793&d0ec0b90777c4b5d9e71bd1cca760e89&	А у меня вот экзамены на носуHelp me !&[['страх', 'грусть']]&100.0&KachalovskijAV
2794&dddf1eeb659a4973a39777b9e5a576d1&	Сорян , вечно забываю , но знай , одежду я надеваю .&['Ни одного']&100.0&KachalovskijAV
2795&39a3cd3d9d6e45c196263bc63ee0ef9a&	Сейчас выпила кофе с пауком .&['Ни одного']&100.0&KachalovskijAV
2796&01c775196ced4225908f812e817147a1&	 Жизнь налаживается !  pictwittercomRuUqbjlf&['Ни одного']&100.0&KachalovskijAV
2797&ee54e932af764db69941d2ddb8cab9d4&	У меня нет сил для их воплощения &['Ни одного']&100.0&KachalovskijAV
2798&4583e5120e764782baa92894fd215b8f&	бля , это лучший совет из всех советов &['Ни одного']&100.0&KachalovskijAV
2799&303e63103fba4cee898958a821842967&	Тут реально бомж - бас  ️&['Ни одного']&100.0&KachalovskijAV
2800&a161a2c4e7ec494cbcdac1c05f0f9c45&	Вот это одноклассницы умные      поржать с очков   это же так весело а им по  -  лет&['Ни одного']&100.0&KachalovskijAV
2801&d05f7d7e9e904bd98b777374bc38daf3&	сегодня Базу был на Ленэкспо , а я только днем думала вот бы на Ваську съездить pictwittercomVHjqysh&['Ни одного']&100.0&KachalovskijAV
2802&886fc0995c394457a1da78627cd94faa&	Джемин или Марк Я не знаю  С кем тебе проще будет ~  pictwittercomrghXqRMg&['Ни одного']&100.0&KachalovskijAV
2803&3ad880a0565c43bda7bbdef9984f1026&	Почему человек изза которого я завела твит удалил свой ? &[['грусть']]&100.0&KachalovskijAV
2804&5fd6d9be0c054da1be57349545b7903b&	# Ржака # Гиф # Юмор GIF # приколы # jokes # Comedy / Подписаться не забудь жми на Мартышку   . .&['Ни одного']&100.0&KachalovskijAV
2805&8a096fc6c984450181ea7214d1f729b4&	Как то не очень &['Ни одного']&100.0&KachalovskijAV
2806&817a31c607fe4fa7933b448a0ea25ce7&	Я значит старалась , готовилась ради него , ждала  И все зря чтоли ?&['Ни одного']&100.0&KachalovskijAV
2807&94a77d0f07fc4f89bc50b5e47e7aad7e&	Ебааать Дэниэл Рэдклифф ( Гарри Поттер ) он прилетает в Якутск  я щас сдохну&[['удивление']]&100.0&KachalovskijAV
2808&68974b6bf95b4e4e94ae315662c9ac23&	До сих пор не могу осознать , что это все происходит со мной  pictwittercomTYjrovdIx&[['удивление']]&100.0&KutlakaevRD
2809&6bda46c8a5384cc9a93cf3ffc072ad63&	А че не в субботу - таки Шабат ! &['Ни одного']&0.0&KutlakaevRD
2810&7e83db31030144b8b09bd7ad060cfb48&	 Дети так быстро растут &[['спокойствие', 'счастье']]&0.0&KutlakaevRD
2811&51bf8f6f275d41f0b7d0685490afb399&	спосебо &['Ни одного']&0.0&KutlakaevRD
2812&a0ea1461978542e495bacb46c95ede80&	Канада .&['Ни одного']&100.0&KutlakaevRD
2813&99de2ae67250441d88e6b489fb42a6ef&	Была нериальная жара , это первое , было весело , это второе , и походу скоро начнется дипресняк . . . . . . .&['Ни одного']&0.0&KutlakaevRD
2814&06ed3617d0b341e0bc38085c336f2fc2&"	Она такая "" Он молодец "" Я "" Ну тк , чей мужик то "" Мама "" Не твой "" "&['Ни одного']&100.0&KutlakaevRD
2815&dd5b2c27d0c44d69b6de6b8653b2b18a&	Главное - ставить себе цель и потихоньку , хоть и маленькими шагами , но идти к ней &[['спокойствие']]&100.0&KutlakaevRD
2816&06dce19f18a242deaf0003c478da0fcf&	Аж руки трясутся &['Ни одного']&100.0&KutlakaevRD
2817&9d43d2c1351d4f60a40f855ab8563a1c&	Кто ️ % внешности , фигуры если мальчик , то какая у него фигура , а если девочка , то тоже фигура .&['Ни одного']&100.0&KutlakaevRD
2818&3e3ca168bdfd4de39463432f0d7d80ab&	Какая разница между женщиной и стеклом ?&['Ни одного']&0.0&KutlakaevRD
2819&9b0d970eba4c4ee0ad68f01c441cadd2&	Что еще за случайно&[['удивление']]&100.0&KutlakaevRD
2820&66363864cd89424bb1df3354f6c7332a&	Интересно , а для человеческой натуры - бывает много денег , тоесть - предел , больше не надо , достаточно . . . ? &[['спокойствие']]&0.0&KutlakaevRD
2821&e33e4f24b67348c2ac40d2b858bfaa3f&	Бля , что мы вообще гуглим ? !   pictwittercomTvrOMbVip&[['гнев']]&0.0&KutlakaevRD
2822&54335648b2da4c959692ed83e8fa5445&	а вас тоже люди кидают когда вы заболеваете&[['гнев']]&0.0&KutlakaevRD
2823&0c03706e79c540e1ada3b5d39244d671&	К траффику россиян может иметь доступ кто угодно , но проблемы россиянам создают только российские спецслужбы и Роскомнадзор &[['гнев']]&0.0&KutlakaevRD
2824&c276363f29db45949d86f4b388080692&	Да да  Вадимка решился &[['спокойствие']]&0.0&KutlakaevRD
2825&1e79e783323e42a9aa493b53084808b5&	Болею третий день &[['грусть']]&100.0&KutlakaevRD
2826&b770ff915afc4441a22f17dbc0c7c073&	Что у Тэ в семье ? ? ? ! ! ! &['Ни одного']&0.0&KutlakaevRD
2827&3ea1fce91aec4bfbbcea7fb749a534e8&	Я не при делах pictwittercomHlhGwu&['Ни одного']&0.0&KutlakaevRD
2828&de7d24333db445e4a32f10ee8b44e54c&	Мне сейчас пиявку поставят !   Фтрафна ! &[['страх']]&0.0&KutlakaevRD
2829&1f7564a8acfe46769b6648958d8f290f&	Ээ, ты куды ? ? ! ! !  pictwittercomoPyTNOqcmc&[['удивление']]&100.0&KutlakaevRD
2830&0b678a7a96614a0b9e4bc217635e47b1&	Хотите я буду показывать что я буду надевать в школу ? &['Ни одного']&0.0&KutlakaevRD
2831&2af09ccd61554c6fa258c82e2af99679&	Чел на моем юпе заставляет меня     &[['грусть']]&0.0&KutlakaevRD
2832&539974e46e7449df9987a5fa7db29bbd&	бля нужно сделать семинар по истории а ноут не включается ️&[['грусть', 'гнев']]&70.71&KutlakaevRD
2833&6ebe496a77134c8e82028a05314c45d8&	Восьмая серия , ты че бля творишь ? &[['гнев']]&0.0&KutlakaevRD
2834&48288eefac964a659c3186e03b6fb606&	В Бойтесь ходячих мертвецов тоже зомби как декорации и люди дерутся друг с другом изза машин , оружия и еды  скучно &['Ни одного']&0.0&KutlakaevRD
2835&af50db934e8f457c8a216898ce067019&	Что вам нравится начинать сначала ?&['Ни одного']&0.0&KutlakaevRD
2836&ebd01afe164b49619db28d5793c3e336&	куда орать божжж какой охрененный  pictwittercomPbLNtRqv&['Ни одного']&0.0&KutlakaevRD
2837&0347cc80a0ab4fc88fd9e0899a7b36ed&	хахахах не могууу Такие смешные ) ) )&[['счастье']]&0.0&KutlakaevRD
2838&411a859bb22b4e4c80183a1a361d3ac0&	Поскорее бы уснуть &['Ни одного']&0.0&KutlakaevRD
2839&c4a7cb448f59476089afb01b5fc8f18b&	Такого мало кто ожидал &[['удивление']]&100.0&KutlakaevRD
